"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
128,"Nottens","2008/11/01",NA,NA,NA,0,157,"ADULT_84","1995/10/01",7,"CERTAIN"
129,"Nottens","2010/01/01",NA,NA,NA,0,171,"ADULT_84","1995/10/01",8,"CERTAIN"
130,"Nsele","2013/09/01",NA,NA,NA,NA,53,"ADULT_48_60","2009/04/01",1,"CERTAIN"
131,"Nsele","01/03/2013",2,NA,NA,0,47,"ADULT_36_48","2009/04/01",2,"CERTAIN"
132,"Nyeleti","2007/02/01",2,NA,NA,0,49,"ADULT_48_60","2003/01/01",1,"CERTAIN"
133,"Nyeleti","2008/04/01",2,NA,2,1,63,"ADULT_60_72","2003/01/01",2,"CERTAIN"
134,"Nyeleti","2009/07/01",3,2,1,3,78,"ADULT_72_84","2003/01/01",3,"CERTAIN"
135,"Nyeleti","2011/03/01",NA,NA,NA,0,98,"ADULT_84","2003/01/01",4,"CERTAIN"
136,"Ostrich_Koppies","2009/01/01",2,2,NA,0,51,"ADULT_48_60","2004/10/01",1,"CERTAIN"
137,"Ostrich_Koppies","2010/09/01",2,NA,1,1,71,"ADULT_60_72","2004/10/01",2,"CERTAIN"
138,"Ostrich_Koppies","2012/05/01",NA,NA,NA,0,91,"ADULT_84","2004/10/01",3,"CERTAIN"
139,"Ostrich_Koppies","2013/01/01",2,NA,1,0,99,"ADULT_84","2004/10/01",4,"CERTAIN"
140,"Ostrich_Koppies","2014/01/01",NA,NA,NA,0,111,"ADULT_84","2004/10/01",5,"CERTAIN"
141,"Ostrich_Koppies","2014/06/01",2,1,1,NA,116,"ADULT_84","2004/10/01",6,"CERTAIN"
142,"Ravenscourt","2005/07/01",2,NA,NA,0,43,"ADULT_36_48","2001/12/01",1,"CERTAIN"
143,"Ravenscourt","2006/03/01",2,1,1,1,51,"ADULT_48_60","2001/12/01",2,"CERTAIN"
